EmployeeNo,Username,Last Name,First Name,Password,AccessLevel,FailedAttempts,Locked,MustChangePassword
10001,MGarcia,Garcia,Manuel III,1234,Admin,0,false,false
10002,Alim,Lim,Antonio,1234,Admin,0,false,false
10003,Baquino,Aquino,Bianca Sofia,1234,Admin,0,false,false
10004,Ireyes,Reyes,Isabella,1234,Admin,0,false,false
10005,Ehernandez,Hernandez,Eduard,1234,IT,0,false,false
10006,Avillanueva,Villanueva,Andrea Mae,1234,Hr,0,false,false
10007,BSan Jose,San Jose,Brad,1234,Regular,0,false,false
10008,Aromualdez,Romualdez,Alice,1111,Hr,3,true,false
10009,Ratienza,Atienza,Rosie,1234,Hr,0,false,false
10010,Ralvaro,Alvaro,Roderick,1234,Accounting,0,false,false
10011,Asalcedo,Salcedo,Anthony,1234,Accounting,0,false,false
10012,Jlopez,Lopez,Josie,1234,Accounting,0,false,false
10013,Mfarala,Farala,Martha,1234,Accounting,0,false,false
10014,Lmartinez,Martinez,Leila,1234,Accounting,0,false,false
10015,Fromualdez,Romualdez,Fredrick,1234,Accounting,0,false,false
10016,Cmata,Mata,Christian,1234,Regular,0,false,false
10017,SDe Leon,De Leon,Selena,1234,Regular,0,false,false
10018,ASan Jose,San Jose,Allison,1234,Regular,0,false,false
10019,Crosario,Rosario,Cydney,1234,Regular,0,false,false
10020,Mbautista,Bautista,Mark,1234,Regular,0,false,false
10021,DLazaro,Lazaro,Darlene,1234,Regular,0,false,false
10022,KDelosSantos,Delos Santos,Kolby,1234,Regular,0,false,false
10023,Vsantos,Santos,Vella,1234,Regular,0,false,false
10024,TDelRosario,Del Rosario,Tomas,1234,Regular,0,false,false
10025,Jtolentino,Tolentino,Jacklyn,1234,Regular,0,false,false
10026,Pgutierrez,Gutierrez,Percival,1234,Regular,0,false,false
10027,Mmanalaysay,Manalaysay,Garfield,1234,Regular,0,false,false
10028,Lvillegas,Villegas,Lizeth,1234,Regular,0,false,false
10029,CRamos,Ramos,Carol,1234,Regular,0,false,false
10030,EMaceda,Maceda,Emelia,1234,Regular,0,false,false
10031,Daguilar,Aguilar,Delia,1234,Regular,0,false,false
10032,Jcastro,Castro,John Rafael,1234,Regular,0,false,false
10033,Cmartinez,Martinez,Carlos Ian,1234,Regular,0,false,false
10034,Bsantos,Santos,Beatriz,123456,Regular,0,false,false
10035,ASarmiento,Sarmiento,Abigail,1234,Regular,0,false,false
10037,Asarmiento,sarmiento,abigail ann,1234,Regular,0,false,false
10038,LPro,Pro,Lesii,1234,Regular,0,false,false
