Employee #,Username,MustChangePassword,TemporaryPasswordActive,Password,Role
10001,mgarcia,false,false,1234,ADMIN
10002,alim,false,false,1234,ADMIN
10003,baquino,false,false,1234,ADMIN
10004,ireyes,false,false,1234,ADMIN
10005,ehernandez,false,false,1234,IT_STAFF
10006,avillanueva,false,false,1234,HR_STAFF
10007,bsanjose,false,false,1234,HR_STAFF
10008,aromualdez,false,false,1234,HR_STAFF
10009,ratienza,false,false,1234,HR_STAFF
10010,ralvaro,false,false,1234,ACCOUNTING
10011,asalcedo,false,false,1234,ACCOUNTING
10012,jlopez,false,false,1234,ACCOUNTING
10013,mfarala,false,false,1234,ACCOUNTING
10014,lmartinez,false,false,1234,ACCOUNTING
10015,fromualdez,false,false,1234,ACCOUNTING
10016,cmata,false,false,1234,REGULAR_STAFF
10017,sdeleon,false,false,1234,REGULAR_STAFF
10018,asanjose,false,false,1234,REGULAR_STAFF
10019,crosario,false,false,1234,REGULAR_STAFF
10020,mbautista,false,false,1234,REGULAR_STAFF
10021,dlazaro,false,false,,REGULAR_STAFF
10022,kdelossantos,false,false,1234,REGULAR_STAFF
10023,vsantos,false,false,1234,REGULAR_STAFF
10024,tdelrosario,false,false,1234,REGULAR_STAFF
10025,jtolentino,false,false,1234,REGULAR_STAFF
10026,pgutierrez,false,false,1234,REGULAR_STAFF
10027,gmanalaysay,false,false,1234,REGULAR_STAFF
10028,lvillegas,false,false,1234,REGULAR_STAFF
10029,cramos,false,false,1234,REGULAR_STAFF
10030,emaceda,false,false,1234,REGULAR_STAFF
10031,daguilar,false,false,1234,REGULAR_STAFF
10032,jcastro,false,false,1234,REGULAR_STAFF
10033,cmartinez,false,false,1234,REGULAR_STAFF
10034,bsantos,false,false,123456,REGULAR_STAFF
10035,aasdasdadsads,false,false,,REGULAR_STAFF
10036,aasdasd,false,false,,REGULAR_STAFF
10037,adelacruz,false,false,,REGULAR_STAFF
10038,dasdadsadsads,false,false,,REGULAR_STAFF
10039,jdelacruz,false,false,,REGULAR_STAFF
10041,ddfssdfssdf,false,false,,REGULAR_STAFF
10042,mjordan,false,false,,REGULAR_STAFF
